"","kick_distance","yardline_100","diff"
"1",50,32,18
"2",49,31,18
"3",37,19,18
"4",44,26,18
"5",36,18,18
"6",50,32,18
"7",28,10,18
"8",28,10,18
"9",38,20,18
"10",22,4,18
"11",33,15,18
"12",45,27,18
"13",21,3,18
"14",20,2,18
"15",52,34,18
"16",23,6,17
"17",47,29,18
"18",46,28,18
"19",22,4,18
"20",38,19,19
"21",35,17,18
"22",50,32,18
"23",40,22,18
"24",43,25,18
"25",26,8,18
"26",25,7,18
"27",39,21,18
"28",20,2,18
"29",50,32,18
"30",39,21,18
"31",41,23,18
"32",38,20,18
"33",27,9,18
"34",28,10,18
"35",37,19,18
"36",56,38,18
"37",50,32,18
"38",33,15,18
"39",45,27,18
"40",30,12,18
"41",47,29,18
"42",53,35,18
"43",32,14,18
"44",47,29,18
"45",23,5,18
"46",56,38,18
"47",25,7,18
"48",54,36,18
"49",47,29,18
"50",42,24,18
"51",31,13,18
"52",50,33,17
"53",20,2,18
"54",61,43,18
"55",31,13,18
"56",40,23,17
"57",46,28,18
"58",34,16,18
"59",47,29,18
"60",29,11,18
"61",28,10,18
"62",54,36,18
"63",33,15,18
"64",43,25,18
"65",34,16,18
"66",34,16,18
"67",29,11,18
"68",21,3,18
"69",20,2,18
"70",58,40,18
"71",52,34,18
"72",52,34,18
"73",49,31,18
"74",41,23,18
"75",25,7,18
"76",49,30,19
"77",33,15,18
"78",21,3,18
"79",22,4,18
"80",31,13,18
"81",36,18,18
"82",29,11,18
"83",22,4,18
"84",46,28,18
"85",54,36,18
"86",48,30,18
"87",23,5,18
"88",52,34,18
"89",43,25,18
"90",33,15,18
"91",35,17,18
"92",54,36,18
"93",25,7,18
"94",54,36,18
"95",32,14,18
"96",24,6,18
"97",57,39,18
"98",43,25,18
"99",31,13,18
"100",35,17,18
"101",43,26,17
"102",30,12,18
"103",34,16,18
"104",27,9,18
"105",39,21,18
"106",38,20,18
"107",39,21,18
"108",53,35,18
"109",48,30,18
"110",19,1,18
"111",45,27,18
"112",23,5,18
"113",28,10,18
"114",29,11,18
"115",39,21,18
"116",36,18,18
"117",25,7,18
"118",31,13,18
"119",29,11,18
"120",53,35,18
"121",39,21,18
"122",23,5,18
"123",28,10,18
"124",47,29,18
"125",29,11,18
"126",39,21,18
"127",39,21,18
"128",31,13,18
"129",49,31,18
"130",41,23,18
"131",22,5,17
"132",40,22,18
"133",45,26,19
"134",51,33,18
"135",46,28,18
"136",42,24,18
"137",27,9,18
"138",19,1,18
"139",60,42,18
"140",45,27,18
"141",57,39,18
"142",21,3,18
"143",43,25,18
"144",42,24,18
"145",37,19,18
"146",49,31,18
"147",52,34,18
"148",53,35,18
"149",49,31,18
"150",34,16,18
"151",47,29,18
"152",41,23,18
"153",46,28,18
"154",37,19,18
"155",48,30,18
"156",42,24,18
"157",38,20,18
"158",46,28,18
"159",20,2,18
"160",34,16,18
"161",42,23,19
"162",36,18,18
"163",43,25,18
"164",46,28,18
"165",50,32,18
"166",24,6,18
"167",25,7,18
"168",53,35,18
"169",41,23,18
"170",48,30,18
"171",54,37,17
"172",28,10,18
"173",31,13,18
"174",27,9,18
"175",28,10,18
"176",34,16,18
"177",52,33,19
"178",36,18,18
"179",29,11,18
"180",40,22,18
"181",38,19,19
"182",38,20,18
"183",42,25,17
"184",34,16,18
"185",33,15,18
"186",27,9,18
"187",22,4,18
"188",53,35,18
"189",33,15,18
"190",33,14,19
"191",22,4,18
"192",49,31,18
"193",33,15,18
"194",45,27,18
"195",29,11,18
"196",25,7,18
"197",30,12,18
"198",37,19,18
"199",34,16,18
"200",43,24,19
"201",48,30,18
"202",47,29,18
"203",44,26,18
"204",28,10,18
"205",54,36,18
"206",53,35,18
"207",49,31,18
"208",51,33,18
"209",45,27,18
"210",47,29,18
"211",36,18,18
"212",22,4,18
"213",38,20,18
"214",24,6,18
"215",50,31,19
"216",50,32,18
"217",21,3,18
"218",25,7,18
"219",53,35,18
"220",49,31,18
"221",22,5,17
"222",46,28,18
"223",49,31,18
"224",49,31,18
"225",25,7,18
"226",29,11,18
"227",21,3,18
"228",42,24,18
"229",22,4,18
"230",43,25,18
"231",22,4,18
"232",47,29,18
"233",30,12,18
"234",47,29,18
"235",40,22,18
"236",46,28,18
"237",44,26,18
"238",24,5,19
"239",43,25,18
"240",34,16,18
"241",33,14,19
"242",53,35,18
"243",48,30,18
"244",53,35,18
"245",48,30,18
"246",45,27,18
"247",26,8,18
"248",36,18,18
"249",46,28,18
"250",35,17,18
"251",33,15,18
"252",46,28,18
"253",25,7,18
"254",45,27,18
"255",37,19,18
"256",32,13,19
"257",23,5,18
"258",54,36,18
"259",22,4,18
"260",35,17,18
"261",54,36,18
"262",49,31,18
"263",53,35,18
"264",26,8,18
"265",41,23,18
"266",49,31,18
"267",24,6,18
"268",46,28,18
"269",50,32,18
"270",51,33,18
"271",19,1,18
"272",38,20,18
"273",30,12,18
"274",50,32,18
"275",31,13,18
"276",47,29,18
"277",41,23,18
"278",44,26,18
"279",30,12,18
"280",33,15,18
"281",25,7,18
"282",35,17,18
"283",48,30,18
"284",47,29,18
"285",50,32,18
"286",33,14,19
"287",49,31,18
"288",29,11,18
"289",20,2,18
"290",50,32,18
"291",26,8,18
"292",36,18,18
"293",56,38,18
"294",48,30,18
"295",35,17,18
"296",33,15,18
"297",35,17,18
"298",43,25,18
"299",46,28,18
"300",38,20,18
"301",40,22,18
"302",24,6,18
"303",31,13,18
"304",56,38,18
"305",27,8,19
"306",33,15,18
"307",42,23,19
"308",29,10,19
"309",44,26,18
"310",23,5,18
"311",21,3,18
"312",39,21,18
"313",35,17,18
"314",31,14,17
"315",53,35,18
"316",42,24,18
"317",33,15,18
"318",52,34,18
"319",46,28,18
"320",25,7,18
"321",31,13,18
"322",45,27,18
"323",37,18,19
"324",58,40,18
"325",37,19,18
"326",43,25,18
"327",44,26,18
"328",22,4,18
"329",34,16,18
"330",32,14,18
"331",37,19,18
"332",29,11,18
"333",21,3,18
"334",31,13,18
"335",32,14,18
"336",56,38,18
"337",46,28,18
"338",41,23,18
"339",37,19,18
"340",27,9,18
"341",36,18,18
"342",33,15,18
"343",36,18,18
"344",24,6,18
"345",32,14,18
"346",30,12,18
"347",52,34,18
"348",38,20,18
"349",46,28,18
"350",22,4,18
"351",44,26,18
"352",34,17,17
"353",39,21,18
"354",32,14,18
"355",38,20,18
"356",50,32,18
"357",28,10,18
"358",30,12,18
"359",23,4,19
"360",30,12,18
"361",24,6,18
"362",50,31,19
"363",33,15,18
"364",48,30,18
"365",40,22,18
"366",47,29,18
"367",50,31,19
"368",49,31,18
"369",44,25,19
"370",22,4,18
"371",51,33,18
"372",36,18,18
"373",29,10,19
"374",33,15,18
"375",32,14,18
"376",39,21,18
"377",40,22,18
"378",31,13,18
"379",40,22,18
"380",28,10,18
"381",36,18,18
"382",45,27,18
"383",43,25,18
"384",43,25,18
"385",29,11,18
"386",22,3,19
"387",32,14,18
"388",28,10,18
"389",33,15,18
"390",48,30,18
"391",44,26,18
"392",48,30,18
"393",35,17,18
"394",21,2,19
"395",42,24,18
"396",32,14,18
"397",46,28,18
"398",44,26,18
"399",54,36,18
"400",39,21,18
"401",41,23,18
"402",36,18,18
"403",29,12,17
"404",26,7,19
"405",32,14,18
"406",23,5,18
"407",37,19,18
"408",44,26,18
"409",44,25,19
"410",52,34,18
"411",42,24,18
"412",27,9,18
"413",40,22,18
"414",37,19,18
"415",31,13,18
"416",33,15,18
"417",58,40,18
